"Plot.Identifier","Plant.Common.Name","Plant.Order","Plant.Family","Plant.Genus","Plant.Species","Percent.Cover.Flowering","iNat.link","Plant_ID"
"QW-16","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora",0.05,"","Phyla nodiflora"
"QW-16","Creeping Beggarweed","Fabales","Fabaceae","Desmodium","incanum",1e-04,"","Desmodium incanum"
"QW-16","Caribbean Stylo","Fabales","Fabaceae","Stylosanthes","hamata",1e-04,"https://www.inaturalist.org/observations/292897050","Stylosanthes hamata"
"QW-16","Common Fanpetals","Malvales","Malvaceae","Sida","ulmifolia",1e-04,"","Sida ulmifolia"
"HK-09","West Indian Milkberry","Gentianales","Rubiaceae","Chiococca","alba",0.01,"https://www.inaturalist.org/observations/292936700","Chiococca alba"
"VV-13","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora",0.01,"","Phyla nodiflora"
"VV-13","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",0.0025,"","Spermacoce verticillata"
"VV-13","Browne's Blechum","Lamiales","Acanthaceae","Ruellia","blechum ",1e-04,"","Ruellia blechum "
"VV-13","Creeping Beggarweed","Fabales","Fabaceae","Desmodium","incanum",1e-04,"","Desmodium incanum"
"VV-13","Asthma Plant","Malpighiales","Euphorbiaceae","Euphorbia","hirta",1e-04,"","Euphorbia hirta"
"VV-13","Hyssop Spurge","Malpighiales","Euphorbiaceae","Euphorbia","hyssopifolia",1e-04,"https://www.inaturalist.org/observations/294302978","Euphorbia hyssopifolia"
"VV-13","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",1e-04,"","Richardia grandiflora"
"VV-14","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",0.0025,"","Spermacoce verticillata"
"VV-14","Bracted Fanpetals","Malvales","Malvaceae","Sida","ciliaris",1e-04,"https://www.inaturalist.org/observations/294315262","Sida ciliaris"
"VV-14","Paraguayan Purslane","Caryophyllales","Portulacaceae","Portulaca","amilis",1e-04,"https://www.inaturalist.org/observations/294315760","Portulaca amilis"
"VV-15","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora",0.01,"","Phyla nodiflora"
"VV-15","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",0.01,"","Richardia grandiflora"
"VV-15","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",1e-04,"","Spermacoce verticillata"
"VV-15","Big Caltrop","Zygophyllales","Zygophyllaceae","Kallstroemia","maxima",1e-04,"","Kallstroemia maxima"
"VV-15","White Beggarticks","Asterales","Asteraceae","Bidens","alba",1e-04,"","Bidens alba"
"VV-15","Creeping Beggarweed","Fabales","Fabaceae","Desmodium","incanum",1e-04,"https://www.inaturalist.org/observations/294324213","Desmodium incanum"
"VV-15","White Moneywort","Fabales","Fabaceae","Alysicarpus","vaginalis",1e-04,"","Alysicarpus vaginalis"
"VV-15","Browne's Blechum","Lamiales","Acanthaceae","Ruellia","blechum ",1e-04,"","Ruellia blechum "
"VV-15","Seabeach Evening-Primrose","Myrtales","Onagraceae","Oenothera","humifusa",1e-04,"https://www.inaturalist.org/observations/294327201","Oenothera humifusa"
"VV-15","Diacrodon compressus","Gentianales","Rubiaceae","Diacrodon","compressus",1e-04,"https://www.inaturalist.org/observations/294327876","Diacrodon compressus"
"VV-16","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",0.005,"","Richardia grandiflora"
"VV-16","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora",0.0025,"","Phyla nodiflora"
"VV-16","Creeping Indigo","Fabales","Fabaceae","Indigofera","spicata",1e-04,"","Indigofera spicata"
"VV-16","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",0.0025,"","Spermacoce verticillata"
"VV-16","White Beggarticks","Asterales","Asteraceae","Bidens","alba",1e-04,"","Bidens alba"
"VV-16","Gomphrena Weed","Caryophyllales","Amaranthaceae","Gomphrena","serrata",1e-04,"https://www.inaturalist.org/observations/294333640","Gomphrena serrata"
"VV-16","Climbing Dayflower","Commelinales","Commelinaceae","Commelina","diffusa",1e-04,"https://www.inaturalist.org/observations/294336487","Commelina diffusa"
"CB-13","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",0.0025,"","Richardia grandiflora"
"CB-13","Common Fanpetals","Malvales","Malvaceae","Sida","ulmifolia",1e-04,"","Sida ulmifolia"
"CB-13","White Beggarticks","Asterales","Asteraceae","Bidens","alba",1e-04,"","Bidens alba"
"CB-13","Nodeweed","Asterales","Asteraceae","Synedrella","nodiflora",1e-04,"https://www.inaturalist.org/observations/294357096","Synedrella nodiflora"
"CB-13","Lilac Tasselflower","Asterales","Asteraceae","Emilia","sonchifolia",1e-04,"","Emilia sonchifolia"
"CB-13","Asthma Plant","Malpighiales","Euphorbiaceae","Euphorbia","hirta",0.01,"","Euphorbia hirta"
"CB-13","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",0.0025,"","Spermacoce verticillata"
"CB-13","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora",1e-04,"","Phyla nodiflora"
"CB-13","Trailing Daisy","Asterales","Asteraceae","Sphagneticola","trilobata",1e-04,"","Sphagneticola trilobata"
"CB-14","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",1e-04,"","Spermacoce verticillata"
"CB-14","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",1e-04,"","Richardia grandiflora"
"CB-14","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora",1e-04,"","Phyla nodiflora"
"CB-14","Big Caltrop","Zygophyllales","Zygophyllaceae","Kallstroemia","maxima",0.0025,"","Kallstroemia maxima"
"CB-14","Common Purslane","Caryophyllales","Portulacaceae","Portulaca","oleracea",1e-04,"","Portulaca oleracea"
"CB-14","Virginia Pepperweed","Brassicales","Brassicaceae","Lepidium","virginicum",1e-04,"","Lepidium virginicum"
"CB-14","Asthma Plant","Malpighiales","Euphorbiaceae","Euphorbia","hirta",1e-04,"","Euphorbia hirta"
"CB-15","Trailing Daisy","Asterales","Asteraceae","Sphagneticola","trilobata",0.01,"","Sphagneticola trilobata"
"CB-15","Creeping Beggarweed","Fabales","Fabaceae","Desmodium","incanum",1e-04,"","Desmodium incanum"
"CB-15","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",1e-04,"","Spermacoce verticillata"
"CB-15","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora",0.0025,"","Phyla nodiflora"
"CB-15","Knotweeds, Smartweeds, and Waterpeppers","Caryophyllales","Polygonaceae","Persicaria","",1e-04,"https://www.inaturalist.org/observations/294584087","Genus Persicaria"
"CB-15","Lax Hornpod","Gentianales","Loganiaceae","Mitreola","petiolata",1e-04,"https://www.inaturalist.org/observations/294584344","Mitreola petiolata"
"CB-15","Cigar Plants and Allies","Myrtales","Lythraceae","Cuphea","",1e-04,"https://www.inaturalist.org/observations/294584585","Genus Cuphea"
"CB-15","Buttonweed","Gentianales","Rubiaceae","Diodia","virginiana",1e-04,"","Diodia virginiana"
"CB-16","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",0.01,"","Spermacoce verticillata"
"CB-16","Old World Diamond Flower","Gentianales","Rubiaceae","Oldenlandia","corymbosa",0.0025,"","Oldenlandia corymbosa"
"CB-16","Knotroot Bristlegrass","Poales","Poaceae","Setaria","parviflora",1e-04,"","Setaria parviflora"
"CB-16","Woodland False Buttonweed","Gentianales","Rubiaceae","Spermacoce","remota",1e-04,"","Spermacoce remota"
"QW-17","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora",0.01,"","Phyla nodiflora"
"QW-17","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",0.0025,"","Spermacoce verticillata"
"QW-17","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",0.0025,"","Richardia grandiflora"
"QW-17","Creeping Beggarweed","Fabales","Fabaceae","Desmodium","incanum",1e-04,"https://www.inaturalist.org/observations/295978368","Desmodium incanum"
"QW-17","Climbing Dayflower","Commelinales","Commelinaceae","Commelina","diffusa",1e-04,"https://www.inaturalist.org/observations/295978731","Commelina diffusa"
"QW-17","Buttonweed","Gentianales","Rubiaceae","Diodia","virginiana",1e-04,"https://www.inaturalist.org/observations/295979503","Diodia virginiana"
"QW-17","False Daisy","Asterales","Asteraceae","Eclipta","prostrata",1e-04,"https://www.inaturalist.org/observations/295980236","Eclipta prostrata"
"QW-17","Caribbean Stylo","Fabales","Fabaceae","Stylosanthes","hamata",1e-04,"https://www.inaturalist.org/observations/295981161","Stylosanthes hamata"
"QW-17","Common Purslane","Caryophyllales","Portulacaceae","Portulaca","oleracea",1e-04,"https://www.inaturalist.org/observations/295989573","Portulaca oleracea"
"QW-18","Trailing Daisy","Asterales","Asteraceae","Sphagneticola","trilobata",1e-04,"","Sphagneticola trilobata"
"QW-18","Beach Naupaka","Asterales","Goodeniaceae","Scaevola","taccada",1e-04,"https://www.inaturalist.org/observations/295998492","Scaevola taccada"
"QW-19","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",0.0025,"","Spermacoce verticillata"
"QW-19","Trailing Daisy","Asterales","Asteraceae","Sphagneticola","trilobata",0.0025,"","Sphagneticola trilobata"
"QW-19","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",0.005,"","Richardia grandiflora"
"QW-19","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora",1e-04,"","Phyla nodiflora"
"QW-19","Caribbean Stylo","Fabales","Fabaceae","Stylosanthes","hamata",1e-04,"https://www.inaturalist.org/observations/296002392","Stylosanthes hamata"
"QW-19","Straggler Daisy","Asterales","Asteraceae","Calyptocarpus","vialis",1e-04,"","Calyptocarpus vialis"
"QW-19","Creeping Beggarweed","Fabales","Fabaceae","Desmodium","incanum",1e-04,"https://www.inaturalist.org/observations/296004077","Desmodium incanum"
"QW-20","Creeping Beggarweed","Fabales","Fabaceae","Desmodium","incanum",1e-04,"https://www.inaturalist.org/observations/296016234","Desmodium incanum"
"QW-20","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora",0.05,"","Phyla nodiflora"
"QW-20","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",0.005,"","Richardia grandiflora"
"QW-20","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",0.05,"","Spermacoce verticillata"
"QW-20","Common Fanpetals","Malvales","Malvaceae","Sida","ulmifolia",1e-04,"","Sida ulmifolia"
"QW-20","Climbing Dayflower","Commelinales","Commelinaceae","Commelina","diffusa",1e-04,"https://www.inaturalist.org/observations/296016554","Commelina diffusa"
"QW-20","Gomphrena Weed","Caryophyllales","Amaranthaceae","Gomphrena","serrata",1e-04,"","Gomphrena serrata"
"QW-20","White Beggarticks","Asterales","Asteraceae","Bidens","alba",1e-04,"","Bidens alba"
"QW-20","Asthma Plant","Malpighiales","Euphorbiaceae","Euphorbia","hirta",1e-04,"","Euphorbia hirta"
"MT-10","White Beggarticks","Asterales","Asteraceae","Bidens","alba",1e-04,"","Bidens alba"
"MT-10","Bitter Melon","Cucurbitales","Cucubitaceae","Momordica","charantia",1e-04,"","Momordica charantia"
"MT-10","American Beautyberry","Lamiales","Lamiaceae","Callicarpa","americana",1e-04,"","Callicarpa americana"
"MT-11","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",1e-04,"","Richardia grandiflora"
"MT-11","Tropic Croton","Malpighiales","Euphorbiaceae","Croton","glandulosus",1e-04,"https://www.inaturalist.org/observations/296056295","Croton glandulosus"
"MT-11","Lilac Tasselflower","Asterales","Asteraceae","Emilia","sonchifolia",1e-04,"","Emilia sonchifolia"
"MT-11","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",0.0025,"","Spermacoce verticillata"
"MT-12","American Beautyberry","Lamiales","Lamiaceae","Callicarpa","americana",1e-04,"","Callicarpa americana"
"MT-12","Lilac Tasselflower","Asterales","Asteraceae","Emilia","sonchifolia",1e-04,"","Emilia sonchifolia"
"MT-12","White Beggarticks","Asterales","Asteraceae","Bidens","alba",1e-04,"","Bidens alba"
"MT-12","Creeping Cucumber","Cucurbitales","Cucurbitaceae","Melothria","pendula",1e-04,"","Melothria pendula"
"HK-10","White Beggarticks","Asterales","Asteraceae","Bidens","alba",1e-04,"","Bidens alba"
"HK-10","American Beautyberry","Lamiales","Lamiaceae","Callicarpa","americana",1e-04,"","Callicarpa americana"
"HK-10","Nettletree","Rosales","Cannabaceae","Trema","micranthum var. floridanum ",1e-04,"","Trema micranthum var. floridanum "
"HS-10","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",0.005,"","Richardia grandiflora"
"HS-10","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",0.0025,"","Spermacoce verticillata"
"HS-10","Trailing Daisy","Asterales","Asteraceae","Sphagneticola","trilobata",1e-04,"","Sphagneticola trilobata"
"HS-10","White Beggarticks","Asterales","Asteraceae","Bidens","alba",1e-04,"","Bidens alba"
"HS-10","Madagascar Periwinkle","Gentianales","Apocynaceae","Catharanthus","roseus",0.01,"","Catharanthus roseus"
"HS-10","Narrowleaf Silkgrass","Asterales","Asteraceae","Pityopsis","graminifolia",0.0025,"","Pityopsis graminifolia"
"HS-10","Earleaf Greenbrier","Liliales","Smilacaceae","Smilax","auriculata",1e-04,"","Smilax auriculata"
"HS-11","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",0.0025,"","Spermacoce verticillata"
"HS-11","Trailing Daisy","Asterales","Asteraceae","Sphagneticola","trilobata",0.0025,"","Sphagneticola trilobata"
"HS-11","White Beggarticks","Asterales","Asteraceae","Bidens","alba",1e-04,"","Bidens alba"
"HS-11","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",1e-04,"","Richardia grandiflora"
"HS-12","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",1e-04,"","Richardia grandiflora"
"HS-12","Madagascar Periwinkle","Gentianales","Apocynaceae","Catharanthus","roseus",0.005,"","Catharanthus roseus"
"HS-12","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",0.0025,"","Spermacoce verticillata"
"HS-12","Southern Beeblossom","Myrtales","Onagraceae","Oenothera","simulans",1e-04,"","Oenothera simulans"
"HS-12","White Beggarticks","Asterales","Asteraceae","Bidens","alba",1e-04,"","Bidens alba"
"MK-22","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",0.005,"","Spermacoce verticillata"
"MK-22","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora",0.01,"","Phyla nodiflora"
"MK-23","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",0.0025,"","Richardia grandiflora"
"MK-23","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora",0.0075,"","Phyla nodiflora"
"MK-23","Cigar Plants and Allies","Myrtales","Lythraceae","Cuphea","",1e-04,"https://www.inaturalist.org/observations/301823866","Genus Cuphea"
"MK-23","Lax Hornpod","Gentianales","Loganiaceae","Mitreola","petiolata",1e-04,"","Mitreola petiolata"
"MK-23","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",0.0075,"","Spermacoce verticillata"
"MK-23","Showy Milkwort","Fabales","Polygalaceae","Asemeia","grandiflora",1e-04,"https://www.inaturalist.org/observations/301826362","Asemeia grandiflora"
"MK-24","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora",1e-04,"","Phyla nodiflora"
"LK-10","Guinea Hen Weed","Caryophyllales","Petiveriaceae","Petiveria","alliacea",1e-04,"","Petiveria alliacea"
"LK-10","Pheasants Tail","Alismatales","Araceae","Anthurium","schlechtendalii",1e-04,"","Anthurium schlechtendalii"
"LK-12","Southern Needleleaf Airplant","Poales","Bromeliaceae","Tillandsia","setacea",1e-04,"","Tillandsia setacea"
"QW-21","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora",0.005,"","Phyla nodiflora"
"QW-21","Creeping Beggarweed","Fabales","Fabaceae","Desmodium","incanum",1e-04,"","Desmodium incanum"
"QW-21","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",0.0025,"","Richardia grandiflora"
"QW-21","Common Purslane","Caryophyllales","Portulacaceae","Portulaca","oleracea",1e-04,"","Portulaca oleracea"
"QW-21","Creeping Indigo","Fabales","Fabaceae","Indigofera","spicata",1e-04,"","Indigofera spicata"
"QW-21","Caribbean Stylo","Fabales","Fabaceae","Stylosanthes","hamata",1e-04,"https://www.inaturalist.org/observations/306011703","Stylosanthes hamata"
"QW-22","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",0.005,"","Richardia grandiflora"
"QW-22","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora",0.0025,"","Phyla nodiflora"
"QW-22","Asthma Plant","Malpighiales","Euphorbiaceae","Euphorbia","hirta",0.0025,"https://www.inaturalist.org/observations/306016707","Euphorbia hirta"
"QW-22","Common Fanpetals","Malvales","Malvaceae","Sida","ulmifolia",1e-04,"","Sida ulmifolia"
"QW-22","Caribbean Stylo","Fabales","Fabaceae","Stylosanthes","hamata",1e-04,"","Stylosanthes hamata"
"QW-22","White Beggarticks","Asterales","Asteraceae","Bidens","alba",1e-04,"","Bidens alba"
"QW-22","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",1e-04,"","Spermacoce verticillata"
"QW-22","Creeping Indigo","Fabales","Fabaceae","Indigofera","spicata",1e-04,"","Indigofera spicata"
"QW-23","Trailing Daisy","Asterales","Asteraceae","Sphagneticola","trilobata",1e-04,"","Sphagneticola trilobata"
"QW-24","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",0.0025,"","Richardia grandiflora"
"QW-24","Common Fanpetals","Malvales","Malvaceae","Sida","ulmifolia",1e-04,"","Sida ulmifolia"
"QW-24","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora",1e-04,"","Phyla nodiflora"
"QW-24","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",1e-04,"","Spermacoce verticillata"
"QW-24","Hyssop Spurge","Malpighiales","Euphorbiaceae","Euphorbia","hyssopifolia",1e-04,"https://www.inaturalist.org/observations/306047070","Euphorbia hyssopifolia"
"MT-13","Pine Barren Goldenrod","Asterales","Asteraceae","Solidago","fistulosa",0.03,"https://www.inaturalist.org/observations/306057769","Solidago fistulosa"
"MT-14","Eastern Milkpea","Fabales","Fabaceae","Galactia","volubilis",1e-04,"https://www.inaturalist.org/observations/306064905","Galactia volubilis"
"MT-15","American Pokeweed","Caryophyllales","Phytolaccaceae","Phytolacca","americana",1e-04,"","Phytolacca americana"
"MT-15","American Beautyberry","Lamiales","Lamiaceae","Callicarpa","americana",1e-04,"","Callicarpa americana"
"HS-13","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",1e-04,"","Spermacoce verticillata"
"HS-14","Partridge Pea","Fabales","Fabaceae","Chamaecrista","fasciculata",1e-04,"","Chamaecrista fasciculata"
"HS-14","Feay's Prairie Clover","Fabales","Fabaceae","Dalea","feayi",1e-04,"","Dalea feayi"
"HS-14","Whitemouth Dayflower","Commelinales","Commelinaceae","Commelina","erecta",1e-04,"","Commelina erecta"
"HS-15","Whitemouth Dayflower","Commelinales","Commelinaceae","Commelina","erecta",1e-04,"","Commelina erecta"
"HS-15","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",1e-04,"","Richardia grandiflora"
"HK-13","Lilac Tasselflower","Asterales","Asteraceae","Emilia","sonchifolia",1e-04,"","Emilia sonchifolia"
"HK-13","White Beggarticks","Asterales","Asteraceae","Bidens","alba",1e-04,"","Bidens alba"
"HK-14","White Beggarticks","Asterales","Asteraceae","Bidens","alba",0.0025,"","Bidens alba"
"HK-14","Lilac Tasselflower","Asterales","Asteraceae","Emilia","sonchifolia",1e-04,"","Emilia sonchifolia"
"HK-14","Firebush","Gentianales","Rubiaceae","Hamelia","patens",1e-04,"","Hamelia patens"
"CB-17","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",0.005,"","Richardia grandiflora"
"CB-17","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora",0.0025,"","Phyla nodiflora"
"CB-17","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",1e-04,"","Spermacoce verticillata"
"CB-17","Knotroot Bristlegrass","Poales","Poaceae","Setaria","parviflora",1e-04,"","Setaria parviflora"
"CB-17","Big Caltrop"," Zygophyllales","Zygophyllaceae","Kallstroemia","maxima",1e-04,"","Kallstroemia maxima"
"CB-18","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",0.0025,"","Spermacoce verticillata"
"CB-18","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",1e-04,"","Richardia grandiflora"
"CB-18","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora",1e-04,"","Phyla nodiflora"
"CB-19","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",0.0025,"","Spermacoce verticillata"
"CB-19","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",0.0075,"","Richardia grandiflora"
"CB-19","Lilac Tasselflower","Asterales","Asteraceae","Emilia","sonchifolia",1e-04,"","Emilia sonchifolia"
"CB-19","Creeping Beggarweed","Fabales","Fabaceae","Desmodium","incanum",1e-04,"","Desmodium incanum"
"CB-19","Asthma Plant","Malpighiales","Euphorbiaceae","Euphorbia","hirta",0.005,"https://www.inaturalist.org/observations/306501637","Euphorbia hirta"
"CB-19","Common Fanpetals","Malvales","Malvaceae","Sida","ulmifolia",1e-04,"","Sida ulmifolia"
"CB-20","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",0.0025,"","Richardia grandiflora"
"CB-20","Common Fanpetals","Malvales","Malvaceae","Sida","ulmifolia",1e-04,"","Sida ulmifolia"
"CB-20","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",1e-04,"","Spermacoce verticillata"
"CB-20","Asthma Plant","Malpighiales","Euphorbiaceae","Euphorbia","hirta",0.0025,"https://www.inaturalist.org/observations/306510154","Euphorbia hirta"
"CB-20","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora",0.005,"","Phyla nodiflora"
"CB-20","Creeping Beggarweed","Fabales","Fabaceae","Desmodium","incanum",1e-04,"","Desmodium incanum"
"CB-20","White Beggarticks","Asterales","Asteraceae","Bidens","alba",1e-04,"","Bidens alba"
"CB-20","Big Caltrop"," Zygophyllales","Zygophyllaceae","Kallstroemia","maxima",1e-04,"","Kallstroemia maxima"
"MK-26","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",0.0025,"","Spermacoce verticillata"
"MK-26","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora",0.005,"","Phyla nodiflora"
"MK-26","Trailing Daisy","Asterales","Asteraceae","Sphagneticola","trilobata",1e-04,"","Sphagneticola trilobata"
"MK-26","Woodland False Buttonweed","Gentianales","Rubiaceae","Spermacoce","remota",1e-04,"","Spermacoce remota"
"MK-26","Buttonweed","Gentianales","Rubiaceae","Diodia","virginiana",0.0025,"","Diodia virginiana"
"MK-26","Horseweed","Asterales","Asteraceae","Erigeron","canadensis",1e-04,"https://www.inaturalist.org/observations/306541548","Erigeron canadensis"
"MK-28","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora",0.0025,"","Phyla nodiflora"
"MK-28","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",1e-04,"","Spermacoce verticillata"
"MK-28","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",1e-04,"","Richardia grandiflora"
"MK-29","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",1e-04,"","Spermacoce verticillata"
"MK-29","Nodeweed","Asterales","Asteraceae","Synedrella","nodiflora",1e-04,"https://www.inaturalist.org/observations/306561300","Synedrella nodiflora"
"VV-18","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",0.02,"","Richardia grandiflora"
"VV-18","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",0.02,"","Spermacoce verticillata"
"VV-18","Hyssop Spurge","Malpighiales","Euphorbiaceae","Euphorbia","hyssopifolia",0.02,"https://www.inaturalist.org/observations/307267727","Euphorbia hyssopifolia"
"VV-18","White Beggarticks","Asterales","Asteraceae","Bidens","alba",1e-04,"","Bidens alba"
"VV-18","Asthma Plant","Malpighiales","Euphorbiaceae","Euphorbia","hirta",0.02,"https://www.inaturalist.org/observations/307268207","Euphorbia hirta"
"VV-18","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora",0.0025,"","Phyla nodiflora"
"VV-18","Tridax Daisy","Asterales","Asteraceae","Tridax","procumbens",1e-04,"","Tridax procumbens"
"VV-18","Common Fanpetals","Malvales","Malvaceae","Sida","ulmifolia",1e-04,"","Sida ulmifolia"
"VV-19","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",1e-04,"","Richardia grandiflora"
"VV-19","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora",1e-04,"","Phyla nodiflora"
"VV-19","Stiffhair Waxweed","Myrtales","Lythraceae","Cuphea","strigulosa",1e-04,"https://www.inaturalist.org/observations/307294893","Cuphea strigulosa"
"VV-19","Buttonweed","Gentianales","Rubiaceae","Diodia","virginiana",1e-04,"","Diodia virginiana"
"VV-19","Florida Hammock Sandmat","Malpighiales","Euphorbiaceae","Euphorbia","ophthalmica",1e-04,"https://www.inaturalist.org/observations/307295501","Euphorbia ophthalmica"
"VV-19","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",1e-04,"","Spermacoce verticillata"
"VV-20","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",1e-04,"","Richardia grandiflora"
"VV-20","Creeping Indigo","Fabales","Fabaceae","Indigofera","spicata",1e-04,"","Indigofera spicata"
"VV-20","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora",1e-04,"","Phyla nodiflora"
"LK-13","Pigeonberry","Caryophyllales","Petiveriaceae","Rivina","humilis",0.0025,"https://www.inaturalist.org/observations/307317344","Rivina humilis"
"LK-14","Spanish Needles","Asterales","Asteraceae","Bidens","bipinnata",1e-04,"https://www.inaturalist.org/observations/307322761","Bidens bipinnata"
"LK-14","Tropical Milkweed","Gentianales","Apocynaceae","Asclepias","curassavica",1e-04,"","Asclepias curassavica"
"LK-14","White Beggarticks","Asterales","Asteraceae","Bidens","alba",1e-04,"","Bidens alba"
"LK-15","White Beggarticks","Asterales","Asteraceae","Bidens","alba",0.05,"","Bidens alba"
"LK-15","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata",1e-04,"","Spermacoce verticillata"
"LK-15","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora",1e-04,"","Richardia grandiflora"
