"Plot.Identifier","Plant.Common.Name","Plant.Order","Plant.Family","Plant.Genus","Plant.Species","Insect.Common.Name","Insect.Order","Insect.Family","Insect.Genus","Insect.Species","Notes","iNat.Link","Second.iNat.link","Park.Name","Month","Year","Insect_ID","Plant_ID","Interaction.ID","Habitat.Type","Habitat.Category","Park.Type","Insect_Status","Plant_Status","Interaction.Status.ID"
"CB-12","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora","Coffee-loving Pyrausta Moth","Lepidoptera","Crambidae","Pyrausta","tyralis","","","","CB Smith","June",2025,"Pyrausta tyralis","Richardia grandiflora","Richardia grandiflora | Pyrausta tyralis","Open Grassy","Open Human Disturbed","High human modification","Native","Non-native","Non-native | Native"
"CB-12","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Western Honey Bee","Hymenoptera","Apidae","Apis","mellifera","","","","CB Smith","June",2025,"Apis mellifera","Bidens alba","Bidens alba | Apis mellifera","Open Grassy","Open Human Disturbed","High human modification","Non-native","Native","Native | Non-native"
"CB-12","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Poey's Furrow Bee ","Hymenoptera","Halictidae","Halictus","poeyi","","","","CB Smith","June",2025,"Halictus poeyi","Bidens alba","Bidens alba | Halictus poeyi","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"CB-12","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Coffee-loving Pyrausta Moth","Lepidoptera","Crambidae","Pyrausta","tyralis","","","","CB Smith","June",2025,"Pyrausta tyralis","Bidens alba","Bidens alba | Pyrausta tyralis","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"HS-08","Erect Pricklypear","Caryophyllales","Cactaceae","Opuntia","dillenii","Brown-winged Striped Sweat Bee","Hymenoptera","Halictidae","Agapostemon","splendens","check id on iNat","https://www.inaturalist.org/observations/288299491","","Highlands Scrub","June",2025,"Agapostemon splendens","Opuntia dillenii","Opuntia dillenii | Agapostemon splendens","Disturbed Edge","Open Human Disturbed","Low human modification","Native","Native","Native | Native"
"HS-08","Trailing Daisy","Asterales","Asteraceae","Sphagneticola","trilobata","Gulf Fritillary","Lepidoptera","Nymphalidae","Dione ","vanillae","","","","Highlands Scrub","June",2025,"Dione  vanillae","Sphagneticola trilobata","Sphagneticola trilobata | Dione  vanillae","Disturbed Edge","Open Human Disturbed","Low human modification","Native","Non-native","Non-native | Native"
"HS-08","Erect Pricklypear","Caryophyllales","Cactaceae","Opuntia","dillenii","Western Honey Bee","Hymenoptera","Apidae","Apis","mellifera","","","","Highlands Scrub","June",2025,"Apis mellifera","Opuntia dillenii","Opuntia dillenii | Apis mellifera","Disturbed Edge","Open Human Disturbed","Low human modification","Non-native","Native","Native | Non-native"
"HS-09","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora","Hoary Leafcutter Bee","Hymenoptera","Megachilidae","Megachile","pruina","check id on iNat","https://www.inaturalist.org/observations/288299490","","Highlands Scrub","June",2025,"Megachile pruina","Richardia grandiflora","Richardia grandiflora | Megachile pruina","Sand Pine Scrub","Scrub","Low human modification","Native","Non-native","Non-native | Native"
"HS-09","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora","Western Honey Bee","Hymenoptera","Apidae","Apis","mellifera","","","","Highlands Scrub","June",2025,"Apis mellifera","Richardia grandiflora","Richardia grandiflora | Apis mellifera","Sand Pine Scrub","Scrub","Low human modification","Non-native","Non-native","Non-native | Non-native"
"MT-07","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata","Southern Paper Wasp","Hymenoptera","Vespidae","Polistes","bellicosus","check id on iNat","https://www.inaturalist.org/observations/288299525","","Military Trail","June",2025,"Polistes bellicosus","Spermacoce verticillata","Spermacoce verticillata | Polistes bellicosus","Oak Dominated Scrub","Scrub","Low human modification","Native","Non-native","Non-native | Native"
"MT-08","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Caribbean Scoliid Wasp","Hymenoptera","Scoliidae","Dielis","dorsata","","https://www.inaturalist.org/observations/288299507","","Military Trail","June",2025,"Dielis dorsata","Bidens alba","Bidens alba | Dielis dorsata","Scrubby Flatwoods","Scrub","Low human modification","Non-native","Native","Native | Non-native"
"MT-08","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Leafcutter, Mortar, and Resin Bees","Hymenoptera","Megachilidae","Megachile","","","","","Military Trail","June",2025,"Genus Megachile","Bidens alba","Bidens alba | Genus Megachile","Scrubby Flatwoods","Scrub","Low human modification","Unknown","Native","Native | Unknown"
"MT-08","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Mallow Scrub-Hairstreak","Lepidoptera","Lycaenidae","Strymon","istapa","","","","Military Trail","June",2025,"Strymon istapa","Bidens alba","Bidens alba | Strymon istapa","Scrubby Flatwoods","Scrub","Low human modification","Native","Native","Native | Native"
"MT-08","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Western Honey Bee","Hymenoptera","Apidae","Apis","mellifera","","","","Military Trail","June",2025,"Apis mellifera","Bidens alba","Bidens alba | Apis mellifera","Scrubby Flatwoods","Scrub","Low human modification","Non-native","Native","Native | Non-native"
"MT-08","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Cylindromyia intermedia","Diptera","Tachinidae","Cylindromyia","intermedia","","","","Military Trail","June",2025,"Cylindromyia intermedia","Bidens alba","Bidens alba | Cylindromyia intermedia","Scrubby Flatwoods","Scrub","Low human modification","Native","Native","Native | Native"
"VV-09","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora","Western Honey Bee","Hymenoptera","Apidae","Apis","mellifera","","","","Vista View","June",2025,"Apis mellifera","Phyla nodiflora","Phyla nodiflora | Apis mellifera","Open Grassy","Open Human Disturbed","High human modification","Non-native","Native","Native | Non-native"
"VV-09","Royal Palm","Arecales","Arecaceae","Roystonea","regia","Western Honey Bee","Hymenoptera","Apidae","Apis","mellifera","","","","Vista View","June",2025,"Apis mellifera","Roystonea regia","Roystonea regia | Apis mellifera","Open Grassy","Open Human Disturbed","High human modification","Non-native","Native","Native | Non-native"
"VV-09","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora","Stained-glass Moth","Lepidoptera","Crambidae","Samea","castellalis","","","","Vista View","June",2025,"Samea castellalis","Phyla nodiflora","Phyla nodiflora | Samea castellalis","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"VV-09","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora","Bow-shaped Calligrapher","Diptera","Syrphidae","Toxomerus","arcifer","","https://www.inaturalist.org/observations/290238517","","Vista View","June",2025,"Toxomerus arcifer","Phyla nodiflora","Phyla nodiflora | Toxomerus arcifer","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"VV-09","Royal Palm","Arecales","Arecaceae","Roystonea","regia","Brown-winged Striped Sweat Bee","Hymenoptera","Halictidae","Agapostemon","splendens","check id on iNat","https://www.inaturalist.org/observations/290238513","","Vista View","June",2025,"Agapostemon splendens","Roystonea regia","Roystonea regia | Agapostemon splendens","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"VV-10","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora","Western Honey Bee","Hymenoptera","Apidae","Apis","mellifera","","","","Vista View","June",2025,"Apis mellifera","Phyla nodiflora","Phyla nodiflora | Apis mellifera","Open Grassy","Open Human Disturbed","High human modification","Non-native","Native","Native | Non-native"
"VV-10","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora","Bicolored Plushback","Diptera","Syrphidae","Palpada","pusilla","","https://www.inaturalist.org/observations/290238525","","Vista View","June",2025,"Palpada pusilla","Phyla nodiflora","Phyla nodiflora | Palpada pusilla","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"VV-10","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora","Florida Small Carpenter ","Hymenoptera","Apidae","Ceratina","floridana","check id on iNat","https://www.inaturalist.org/observations/290238531","","Vista View","June",2025,"Ceratina floridana","Phyla nodiflora","Phyla nodiflora | Ceratina floridana","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"VV-11","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora","Western Honey Bee","Hymenoptera","Apidae","Apis","mellifera","","","","Vista View","June",2025,"Apis mellifera","Phyla nodiflora","Phyla nodiflora | Apis mellifera","Open Grassy","Open Human Disturbed","High human modification","Non-native","Native","Native | Non-native"
"VV-11","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora","Orange-spotted Flower Moth","Lepidoptera","Crambidae","Syngamia","florella","","","","Vista View","June",2025,"Syngamia florella","Phyla nodiflora","Phyla nodiflora | Syngamia florella","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"VV-11","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora","Wine-tinted Oenobotys Moth","Lepidoptera","Crambidae","Oenobotys","vinotinctalis","check id on iNat","https://www.inaturalist.org/observations/290141594","","Vista View","June",2025,"Oenobotys vinotinctalis","Phyla nodiflora","Phyla nodiflora | Oenobotys vinotinctalis","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"VV-11","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata","Orange-spotted Flower Moth","Lepidoptera","Crambidae","Syngamia","florella","","","","Vista View","June",2025,"Syngamia florella","Spermacoce verticillata","Spermacoce verticillata | Syngamia florella","Open Grassy","Open Human Disturbed","High human modification","Native","Non-native","Non-native | Native"
"VV-11","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Poey's Furrow Bee ","Hymenoptera","Halictidae","Halictus","poeyi","","","","Vista View","June",2025,"Halictus poeyi","Bidens alba","Bidens alba | Halictus poeyi","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"VV-11","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora","Pure Green Sweat Bee","Hymenoptera","Halictidae","Augochlora","pura","check id on iNat","https://www.inaturalist.org/observations/290238544","","Vista View","June",2025,"Augochlora pura","Phyla nodiflora","Phyla nodiflora | Augochlora pura","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"VV-11","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora","Dainty Sulphur","Lepidoptera","Pieridae","Nathalis","iole","","","","Vista View","June",2025,"Nathalis iole","Richardia grandiflora","Richardia grandiflora | Nathalis iole","Open Grassy","Open Human Disturbed","High human modification","Native","Non-native","Non-native | Native"
"VV-11","Creeping Beggarweed","Fabales","Fabaceae","Desmodium","incanum","Poey's Furrow Bee ","Hymenoptera","Halictidae","Halictus","poeyi","","","","Vista View","June",2025,"Halictus poeyi","Desmodium incanum","Desmodium incanum | Halictus poeyi","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"VV-11","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata","Poey's Furrow Bee ","Hymenoptera","Halictidae","Halictus","poeyi","","","","Vista View","June",2025,"Halictus poeyi","Spermacoce verticillata","Spermacoce verticillata | Halictus poeyi","Open Grassy","Open Human Disturbed","High human modification","Native","Non-native","Non-native | Native"
"VV-11","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata","Margined Leatherwing Beetle","Coleoptera","Cantharidae","Chauliognathus","marginatus","","","","Vista View","June",2025,"Chauliognathus marginatus","Spermacoce verticillata","Spermacoce verticillata | Chauliognathus marginatus","Open Grassy","Open Human Disturbed","High human modification","Native","Non-native","Non-native | Native"
"VV-12","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora","Chrysanthrax cypris","Diptera","Bombyliidae","Chrysanthrax","cypris","","","","Vista View","June",2025,"Chrysanthrax cypris","Phyla nodiflora","Phyla nodiflora | Chrysanthrax cypris","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"LK-07","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora","Chrysanthrax cypris","Diptera","Bombyliidae","Chrysanthrax","cypris","","","","Long Key","June",2025,"Chrysanthrax cypris","Phyla nodiflora","Phyla nodiflora | Chrysanthrax cypris","Disturbed Edge","Open Human Disturbed","Low human modification","Native","Native","Native | Native"
"QW-15","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata","Chrysanthrax cypris","Diptera","Bombyliidae","Chrysanthrax","cypris","","","","Quiet Waters","June",2025,"Chrysanthrax cypris","Spermacoce verticillata","Spermacoce verticillata | Chrysanthrax cypris","Pine Flatwoods","Flatwoods","High human modification","Native","Non-native","Non-native | Native"
"QW-15","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata","Northern Plushback","Diptera","Syrphidae","Palpada","vinetorum ","","","","Quiet Waters","June",2025,"Palpada vinetorum ","Spermacoce verticillata","Spermacoce verticillata | Palpada vinetorum ","Pine Flatwoods","Flatwoods","High human modification","Native","Non-native","Non-native | Native"
"QW-15","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata","Four-speckled Hover Fly","Diptera","Syrphidae","Dioprosopa","clavata","","","","Quiet Waters","June",2025,"Dioprosopa clavata","Spermacoce verticillata","Spermacoce verticillata | Dioprosopa clavata","Pine Flatwoods","Flatwoods","High human modification","Native","Non-native","Non-native | Native"
"QW-16","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora","Western Honey Bee","Hymenoptera","Apidae","Apis","mellifera","","","","Quiet Waters","June",2025,"Apis mellifera","Phyla nodiflora","Phyla nodiflora | Apis mellifera","Open Grassy","Open Human Disturbed","High human modification","Non-native","Native","Native | Non-native"
"QW-16","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora","Chrysanthrax cypris","Diptera","Bombyliidae","Chrysanthrax","cypris","","","","Quiet Waters","June",2025,"Chrysanthrax cypris","Phyla nodiflora","Phyla nodiflora | Chrysanthrax cypris","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"QW-16","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Poey's Furrow Bee ","Hymenoptera","Halictidae","Halictus","poeyi","","","","Quiet Waters","June",2025,"Halictus poeyi","Bidens alba","Bidens alba | Halictus poeyi","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"QW-16","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Dainty Sulphur","Lepidoptera","Pieridae","Nathalis","iole","","","","Quiet Waters","June",2025,"Nathalis iole","Bidens alba","Bidens alba | Nathalis iole","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"QW-16","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora","Coffee-loving Pyrausta Moth","Lepidoptera","Crambidae","Pyrausta","tyralis","","","","Quiet Waters","June",2025,"Pyrausta tyralis","Phyla nodiflora","Phyla nodiflora | Pyrausta tyralis","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"QW-16","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora","Dainty Sulphur","Lepidoptera","Pieridae","Nathalis","iole","","","","Quiet Waters","June",2025,"Nathalis iole","Phyla nodiflora","Phyla nodiflora | Nathalis iole","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"QW-16","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Fiery Skipper","Lepidoptera","Hesperiidae","Hylephila","phyleus","","","","Quiet Waters","June",2025,"Hylephila phyleus","Bidens alba","Bidens alba | Hylephila phyleus","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"QW-16","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora","Barred Yellow","Lepidoptera","Pieridae","Eurema","daira","","","","Quiet Waters","June",2025,"Eurema daira","Phyla nodiflora","Phyla nodiflora | Eurema daira","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"QW-16","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata","Mallow Scrub-Hairstreak","Lepidoptera","Lycaenidae","Strymon","istapa","","","","Quiet Waters","June",2025,"Strymon istapa","Spermacoce verticillata","Spermacoce verticillata | Strymon istapa","Open Grassy","Open Human Disturbed","High human modification","Native","Non-native","Non-native | Native"
"QW-16","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora","Fiery Skipper","Lepidoptera","Hesperiidae","Hylephila","phyleus","","","","Quiet Waters","June",2025,"Hylephila phyleus","Phyla nodiflora","Phyla nodiflora | Hylephila phyleus","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"QW-16","Caribbean Stylo","Fabales","Fabaceae","Stylosanthes","hamata","Dainty Sulphur","Lepidoptera","Pieridae","Nathalis","iole","","","","Quiet Waters","June",2025,"Nathalis iole","Stylosanthes hamata","Stylosanthes hamata | Nathalis iole","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"QW-16","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora","Eufala Skipper","Lepidoptera","Hesperiidae","Lerodea","eufala","check id on iNat","https://www.inaturalist.org/observations/292976134","","Quiet Waters","June",2025,"Lerodea eufala","Phyla nodiflora","Phyla nodiflora | Lerodea eufala","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"QW-16","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Eufala Skipper","Lepidoptera","Hesperiidae","Lerodea","eufala","","","","Quiet Waters","June",2025,"Lerodea eufala","Bidens alba","Bidens alba | Lerodea eufala","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"QW-16","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora","Orange-spotted Flower Moth","Lepidoptera","Crambidae","Syngamia","florella","","","","Quiet Waters","June",2025,"Syngamia florella","Phyla nodiflora","Phyla nodiflora | Syngamia florella","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"QW-16","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora","Cassius Blue","Lepidoptera","Lycaenidae","Leptotes","cassius","","","","Quiet Waters","June",2025,"Leptotes cassius","Phyla nodiflora","Phyla nodiflora | Leptotes cassius","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"QW-16","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Horace's Duskywing","Lepidoptera","Hesperiidae","Erynnis","horatius","","","","Quiet Waters","June",2025,"Erynnis horatius","Bidens alba","Bidens alba | Erynnis horatius","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"QW-16","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora","Horace's Duskywing","Lepidoptera","Hesperiidae","Erynnis","horatius","","","","Quiet Waters","June",2025,"Erynnis horatius","Phyla nodiflora","Phyla nodiflora | Erynnis horatius","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"QW-16","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora","Barred Yellow","Lepidoptera","Pieridae","Eurema","daira","","","","Quiet Waters","June",2025,"Eurema daira","Richardia grandiflora","Richardia grandiflora | Eurema daira","Open Grassy","Open Human Disturbed","High human modification","Native","Non-native","Non-native | Native"
"QW-16","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Barred Yellow","Lepidoptera","Pieridae","Eurema","daira","","","","Quiet Waters","June",2025,"Eurema daira","Bidens alba","Bidens alba | Eurema daira","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"QW-16","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora","Chrysanthrax cypris","Diptera","Bombyliidae","Chrysanthrax","cypris","","","","Quiet Waters","June",2025,"Chrysanthrax cypris","Richardia grandiflora","Richardia grandiflora | Chrysanthrax cypris","Open Grassy","Open Human Disturbed","High human modification","Native","Non-native","Non-native | Native"
"QW-16","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora","Poey's Furrow Bee ","Hymenoptera","Halictidae","Halictus","poeyi","","","","Quiet Waters","June",2025,"Halictus poeyi","Phyla nodiflora","Phyla nodiflora | Halictus poeyi","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"QW-16","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Coffee-loving Pyrausta Moth","Lepidoptera","Crambidae","Pyrausta","tyralis","","","","Quiet Waters","June",2025,"Pyrausta tyralis","Bidens alba","Bidens alba | Pyrausta tyralis","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"QW-16","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora","Eufala Skipper","Lepidoptera","Hesperiidae","Lerodea","eufala","","","","Quiet Waters","June",2025,"Lerodea eufala","Richardia grandiflora","Richardia grandiflora | Lerodea eufala","Open Grassy","Open Human Disturbed","High human modification","Native","Non-native","Non-native | Native"
"VV-13","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora","Horace's Duskywing","Lepidoptera","Hesperiidae","Erynnis","horatius","check id on iNat","https://www.inaturalist.org/observations/294834925","","Vista View","July",2025,"Erynnis horatius","Phyla nodiflora","Phyla nodiflora | Erynnis horatius","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"VV-13","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora","Stained-glass Moth","Lepidoptera","Crambidae","Samea","castellalis","check id on iNat","https://www.inaturalist.org/observations/294834928","","Vista View","July",2025,"Samea castellalis","Phyla nodiflora","Phyla nodiflora | Samea castellalis","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"VV-13","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora","Western Honey Bee","Hymenoptera","Apidae","Apis","mellifera","","","","Vista View","July",2025,"Apis mellifera","Phyla nodiflora","Phyla nodiflora | Apis mellifera","Open Grassy","Open Human Disturbed","High human modification","Non-native","Native","Native | Non-native"
"VV-14","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata","Barred Yellow","Lepidoptera","Pieridae","Eurema","daira","","","","Vista View","July",2025,"Eurema daira","Spermacoce verticillata","Spermacoce verticillata | Eurema daira","Open Grassy","Open Human Disturbed","High human modification","Native","Non-native","Non-native | Native"
"VV-15","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora","Orange-spotted Flower Moth","Lepidoptera","Crambidae","Syngamia","florella","","","","Vista View","July",2025,"Syngamia florella","Phyla nodiflora","Phyla nodiflora | Syngamia florella","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"VV-15","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora","Poey's Furrow Bee ","Hymenoptera","Halictidae","Halictus","poeyi","","","","Vista View","July",2025,"Halictus poeyi","Phyla nodiflora","Phyla nodiflora | Halictus poeyi","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"VV-15","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Ceraunus Blue","Lepidoptera","Lycaenidae","Hemiargus","ceraunus","","","","Vista View","July",2025,"Hemiargus ceraunus","Bidens alba","Bidens alba | Hemiargus ceraunus","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"VV-15","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora","Coffee-loving Pyrausta Moth","Lepidoptera","Crambidae","Pyrausta","tyralis","","","","Vista View","July",2025,"Pyrausta tyralis","Richardia grandiflora","Richardia grandiflora | Pyrausta tyralis","Open Grassy","Open Human Disturbed","High human modification","Native","Non-native","Non-native | Native"
"VV-15","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora","Poey's Furrow Bee ","Hymenoptera","Halictidae","Halictus","poeyi","","","","Vista View","July",2025,"Halictus poeyi","Richardia grandiflora","Richardia grandiflora | Halictus poeyi","Open Grassy","Open Human Disturbed","High human modification","Native","Non-native","Non-native | Native"
"VV-15","White Beggarticks","Asterales","Rubiaceae","Bidens","alba","Poey's Furrow Bee ","Hymenoptera","Halictidae","Halictus","poeyi","","","","Vista View","July",2025,"Halictus poeyi","Bidens alba","Bidens alba | Halictus poeyi","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"CB-14","Big Caltrop","Zygophyllales","Zygophyllaceae","Kallstroemia","maxima","White Peacock","Lepidoptera","Nymphalidae","Anartia","jatrophae","","","","CB Smith","July",2025,"Anartia jatrophae","Kallstroemia maxima","Kallstroemia maxima | Anartia jatrophae","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"CB-15","Trailing Daisy","Asterales","Asteraceae","Sphagneticola","trilobata","White Peacock","Lepidoptera","Nymphalidae","Anartia","jatrophae","","","","CB Smith","July",2025,"Anartia jatrophae","Sphagneticola trilobata","Sphagneticola trilobata | Anartia jatrophae","Open Grassy","Open Human Disturbed","High human modification","Native","Non-native","Non-native | Native"
"QW-17","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora","Western Honey Bee","Hymenoptera","Apidae","Apis","mellifera","","","","Quiet Waters","July",2025,"Apis mellifera","Phyla nodiflora","Phyla nodiflora | Apis mellifera","Open Grassy","Open Human Disturbed","High human modification","Non-native","Native","Native | Non-native"
"QW-17","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora","Orange-spotted Flower Moth","Lepidoptera","Crambidae","Syngamia","florella","","","","Quiet Waters","July",2025,"Syngamia florella","Phyla nodiflora","Phyla nodiflora | Syngamia florella","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"QW-17","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora","Chrysanthrax cypris","Diptera","Bombyliidae","Chrysanthrax","cypris","","","","Quiet Waters","July",2025,"Chrysanthrax cypris","Phyla nodiflora","Phyla nodiflora | Chrysanthrax cypris","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"QW-17","Largeflower Mexican Clover","Gentianales","Rubiaceae","Richardia","grandiflora","Orange-spotted Flower Moth","Lepidoptera","Crambidae","Syngamia","florella","","","","Quiet Waters","July",2025,"Syngamia florella","Richardia grandiflora","Richardia grandiflora | Syngamia florella","Open Grassy","Open Human Disturbed","High human modification","Native","Non-native","Non-native | Native"
"QW-17","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora","Poey's Furrow Bee ","Hymenoptera","Halictidae","Halictus","poeyi","","","","Quiet Waters","July",2025,"Halictus poeyi","Phyla nodiflora","Phyla nodiflora | Halictus poeyi","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
"QW-17","Shrubby False Buttonweed","Gentianales","Rubiaceae","Spermacoce","verticillata","Stained-glass Moth","Lepidoptera","Crambidae","Samea","castellalis","check id on iNat","https://www.inaturalist.org/observations/296360798","","Quiet Waters","July",2025,"Samea castellalis","Spermacoce verticillata","Spermacoce verticillata | Samea castellalis","Open Grassy","Open Human Disturbed","High human modification","Native","Non-native","Non-native | Native"
"QW-17","Turkey Tangle Frogfruit","Lamiales","Verbenaceae","Phyla","nodiflora","Bicolored Plushback","Diptera","Syrphidae","Palpada","pusilla","","","","Quiet Waters","July",2025,"Palpada pusilla","Phyla nodiflora","Phyla nodiflora | Palpada pusilla","Open Grassy","Open Human Disturbed","High human modification","Native","Native","Native | Native"
