"Plot.Identifier","Park.Name","Park.Type","Month","Year","Habitat.Type","Total_Floral_Cover","Habitat.Category","Unique.Interactions"
"QW-52","Quiet Waters","High human modification","March",2026,"Open Grassy",4e-04,"Open Human Disturbed",0
"MT-34","Military Trail","Low human modification","March",2026,"Scrubby Flatwoods",0.0204,"Scrub",3
"MT-35","Military Trail","Low human modification","March",2026,"Oak Dominated Scrub",3e-04,"Scrub",5
"MT-36","Military Trail","Low human modification","March",2026,"Oak Dominated Scrub",0.0052,"Scrub",2
"HS-34","Highlands Scrub","Low human modification","March",2026,"Disturbed Edge",3e-04,"Transitional Human Disturbed",0
"HS-35","Highlands Scrub","Low human modification","March",2026,"Sand Pine Scrub",0,"Scrub",0
"HS-36","Highlands Scrub","Low human modification","March",2026,"Sand Pine Scrub",4e-04,"Scrub",0
"LK-34","Long Key","Low human modification","March",2026,"Hammock",1e-04,"Hammock",0
"LK-35","Long Key","Low human modification","March",2026,"Open Grassy",0,"Open Human Disturbed",0
"LK-36","Long Key","Low human modification","March",2026,"Wetland",2e-04,"Wetland",0
"CB-45","CB Smith","High human modification","March",2026,"Open Grassy",3e-04,"Open Human Disturbed",0
"CB-46","CB Smith","High human modification","March",2026,"Open Grassy",0,"Open Human Disturbed",0
"CB-47","CB Smith","High human modification","March",2026,"Open Grassy",0.0029,"Open Human Disturbed",0
"CB-48","CB Smith","High human modification","March",2026,"Open Grassy",3e-04,"Open Human Disturbed",0
"VV-45","Vista View","High human modification","March",2026,"Open Grassy",1e-04,"Open Human Disturbed",1
"VV-46","Vista View","High human modification","March",2026,"Open Grassy",2e-04,"Open Human Disturbed",0
"VV-47","Vista View","High human modification","March",2026,"Dry Prairie",0,"Prairie",0
"VV-48","Vista View","High human modification","March",2026,"Dry Prairie",0,"Prairie",0
"MK-61","Markham","High human modification","March",2026,"Hammock",0,"Hammock",0
"MK-62","Markham","High human modification","March",2026,"Open Grassy",1e-04,"Open Human Disturbed",0
"MK-63","Markham","High human modification","March",2026,"Open Grassy",0.0754,"Open Human Disturbed",5
"MK-64","Markham","High human modification","March",2026,"Open Grassy",0.0101,"Open Human Disturbed",2
"MK-65","Markham","High human modification","March",2026,"Hammock",0,"Hammock",0
"HK-34","Helene Klein","Low human modification","March",2026,"Pine Flatwoods",2e-04,"Flatwoods",0
"HK-35","Helene Klein","Low human modification","March",2026,"Pine Flatwoods",0,"Flatwoods",0
"HK-36","Helene Klein","Low human modification","March",2026,"Pine Flatwoods",0,"Flatwoods",0
"MK-66","Markham","High human modification","April",2026,"Open Grassy",0.0029,"Open Human Disturbed",0
"MK-67","Markham","High human modification","April",2026,"Open Grassy",5e-04,"Open Human Disturbed",0
"MK-68","Markham","High human modification","April",2026,"Open Grassy",0.0053,"Open Human Disturbed",0
"MK-69","Markham","High human modification","April",2026,"Hammock",0.0028,"Hammock",6
"MK-70","Markham","High human modification","April",2026,"Hammock",0.0025,"Hammock",1
"CB-49","CB Smith","High human modification","April",2026,"Open Grassy",0.0103,"Open Human Disturbed",0
"CB-50","CB Smith","High human modification","April",2026,"Open Grassy",0.0128,"Open Human Disturbed",4
"CB-51","CB Smith","High human modification","April",2026,"Open Grassy",0.0076,"Open Human Disturbed",0
"CB-52","CB Smith","High human modification","April",2026,"Open Grassy",0.0052,"Open Human Disturbed",1
"VV-49","Vista View","High human modification","April",2026,"Open Grassy",0.0528,"Open Human Disturbed",6
"VV-50","Vista View","High human modification","April",2026,"Open Grassy",0.0602,"Open Human Disturbed",2
"VV-51","Vista View","High human modification","April",2026,"Open Grassy",0.0504,"Open Human Disturbed",0
"VV-52","Vista View","High human modification","April",2026,"Open Grassy",0.0052,"Open Human Disturbed",4
"MT-37","Military Trail","Low human modification","April",2026,"Sand Pine Scrub",0.0075,"Scrub",0
"MT-38","Military Trail","Low human modification","April",2026,"Sand Pine Scrub",0.0053,"Scrub",3
"MT-39","Military Trail","Low human modification","April",2026,"Scrubby Flatwoods",0.0352,"Scrub",10
"QW-53","Quiet Waters","High human modification","April",2026,"Pine Flatwoods",0.02,"Flatwoods",1
"QW-54","Quiet Waters","High human modification","April",2026,"Open Grassy",0.005,"Open Human Disturbed",0
"QW-55","Quiet Waters","High human modification","April",2026,"Open Grassy",0.0058,"Open Human Disturbed",3
"QW-56","Quiet Waters","High human modification","April",2026,"Open Grassy",0.0154,"Open Human Disturbed",2
"HK-37","Helene Klein","Low human modification","April",2026,"Pine Flatwoods",0.0078,"Flatwoods",1
"HK-38","Helene Klein","Low human modification","April",2026,"Pine Flatwoods",1e-04,"Flatwoods",0
"HK-39","Helene Klein","Low human modification","April",2026,"Pine Flatwoods",0,"Flatwoods",0
"HS-37","Highlands Scrub","Low human modification","April",2026,"Sand Pine Scrub",0.0026,"Scrub",2
"HS-38","Highlands Scrub","Low human modification","April",2026,"Sand Pine Scrub",1e-04,"Scrub",0
"HS-39","Highlands Scrub","Low human modification","April",2026,"Sand Pine Scrub",1e-04,"Scrub",1
"LK-37","Long Key","Low human modification","April",2026,"Open Grassy",0.0205,"Open Human Disturbed",12
"LK-38","Long Key","Low human modification","April",2026,"Hammock",0.0075,"Hammock",0
"LK-39","Long Key","Low human modification","April",2026,"Wetland",0,"Wetland",13
